time,bnds,lat,plev,time_bnds,aps,tm1,O3
2019-07-01 08:00:00,0,87.8638,58909.1,2018-02-14 00:24:00,101817.39,247.29172,5.6863552e-08
2019-07-01 08:00:00,0,87.8638,64849.2,2018-02-14 00:24:00,101817.39,251.64198,5.4631087e-08
2019-07-01 08:00:00,0,87.8638,71372.6,2018-02-14 00:24:00,101817.39,255.6099,5.2363504e-08
2019-07-01 08:00:00,0,87.8638,78444.2,2018-02-14 00:24:00,101817.39,258.94495,4.984435e-08
2019-07-01 08:00:00,0,87.8638,85715.1,2018-02-14 00:24:00,101817.39,261.6424,4.715529e-08
2019-07-01 08:00:00,0,87.8638,92108.5,2018-02-14 00:24:00,101817.39,262.5312,4.362987e-08
2019-07-01 08:00:00,0,87.8638,96738.1,2018-02-14 00:24:00,101817.39,261.0887,3.843067e-08
2019-07-01 08:00:00,0,87.8638,99565.4,2018-02-14 00:24:00,101817.39,259.81265,3.3397846e-08
2019-07-01 08:00:00,0,87.8638,100934.0,2018-02-14 00:24:00,101817.39,259.53198,3.1518702e-08
2019-07-01 08:00:00,0,85.09653,0.99,2018-02-14 00:24:00,102134.2,181.83337,4.3910381e-07
2019-07-01 08:00:00,0,85.09653,3.18,2018-02-14 00:24:00,102134.2,194.9739,5.6365474e-07
2019-07-01 08:00:00,0,85.09653,5.81,2018-02-14 00:24:00,102134.2,213.1135,6.603101e-07
2019-07-01 08:00:00,0,85.09653,8.96,2018-02-14 00:24:00,102134.2,222.50153,7.53615e-07
2019-07-01 08:00:00,0,85.09653,12.74,2018-02-14 00:24:00,102134.2,232.00397,8.142405e-07
2019-07-01 08:00:00,0,85.09653,17.17,2018-02-14 00:24:00,102134.2,239.30725,8.844613e-07
2019-07-01 08:00:00,0,85.09653,22.27,2018-02-14 00:24:00,102134.2,245.35544,9.705469e-07
2019-07-01 08:00:00,0,85.09653,28.14,2018-02-14 00:24:00,102134.2,250.06396,1.0790893e-06
2019-07-01 08:00:00,0,85.09653,34.88,2018-02-14 00:24:00,102134.2,253.71796,1.2158582e-06
